,1,2,4,8
1000,848.141000,845.471000,391.881000,249.94
10000,1249.4110000,2271.0310000,2621.4410000,2527.64
100000,1751.90100000,3132.45100000,5692.62100000,6464.43
500000,961.00500000,3162.27500000,3715.11500000,7243.66
1000000,1712.071000000,2580.291000000,5525.981000000,10481.26
2000000,1097.732000000,1081.852000000,3052.172000000,2885.69
4000000,1055.694000000,1247.504000000,2131.914000000,2609.14
8000000,1093.758000000,1843.248000000,1593.688000000,2113.07
