,1,2,4,8
1000,196.151000,295.471000,349.301000,197.16
10000,186.3210000,362.5810000,681.8310000,819.03
100000,225.00100000,440.96100000,795.55100000,1004.60
500000,119.31500000,446.75500000,524.65500000,1048.76
1000000,222.391000000,429.061000000,873.201000000,1419.73
2000000,216.852000000,418.932000000,745.012000000,946.49
4000000,217.764000000,433.324000000,800.644000000,1161.14
8000000,217.918000000,433.108000000,832.758000000,605.90
