,1,2,4,8
1000,848.141000,684.781000,513.751000,255.17
10000,1619.5210000,2093.8810000,2417.2510000,2401.03
100000,1384.83100000,2126.14100000,3946.42100000,5852.73
500000,792.96500000,2096.05500000,2801.57500000,3954.21
1000000,986.541000000,1409.221000000,4982.511000000,5439.15
2000000,691.072000000,754.042000000,1308.352000000,1956.31
4000000,707.484000000,923.914000000,1138.184000000,1062.70
8000000,644.048000000,813.898000000,1172.268000000,1386.49
