,1,2,4,8
1000,194.801000,290.671000,355.541000,297.11
10000,218.2410000,345.1410000,761.9510000,771.48
100000,220.51100000,430.71100000,786.92100000,921.45
500000,118.50500000,427.80500000,484.59500000,971.85
1000000,214.451000000,234.531000000,868.601000000,1614.67
2000000,211.002000000,403.622000000,577.492000000,781.63
4000000,212.814000000,419.244000000,719.564000000,749.99
8000000,209.078000000,412.798000000,764.908000000,921.21
