,8,16,32,64,128,256,512
1,0.0207381,0.0222031,0.0226431,0.0232251,0.0231851,0.0234221,0.023469
2,0.0442252,0.0454792,0.0466162,0.0438052,0.0365632,0.0445232,0.044757
4,0.0881744,0.0867244,0.0913694,0.0717254,0.0717024,0.0705364,0.088597
8,0.1748248,0.1790128,0.1749568,0.1794648,0.1876428,0.1802818,0.178199
16,0.33750616,0.24765916,0.35746316,0.35422416,0.36256116,0.35701316,0.366947
32,0.61924732,0.65443532,0.70467432,0.71408532,0.72167132,0.71366432,0.713708
64,1.10620164,1.25892364,1.09706064,1.36989564,1.43906364,1.43104464,1.380402
128,1.809616128,2.265720128,2.113588128,2.671301128,2.679591128,2.827417128,2.844158
256,2.592137256,3.609487256,3.720901256,4.116576256,4.299954256,5.218298256,5.569791
512,1.809570512,1.808187512,2.401643512,2.569984512,2.592985512,2.768271512,2.609221
1024,2.4007621024,3.5637301024,4.4040681024,4.9175601024,3.9650231024,3.9823011024,5.249367
2048,3.0831922048,5.0916212048,7.0013642048,8.3521872048,9.3490762048,9.4449942048,9.413170
4096,3.7075334096,6.4368224096,9.6855154096,12.9326824096,14.5970064096,15.2490714096,15.318106
8192,4.0224728192,7.2754008192,11.2647028192,16.3734818192,20.0234748192,20.0659408192,20.279040
