,8,16,32,64,128,256,512
1,0.0181101,0.0194531,0.0199461,0.0201181,0.0119481,0.0168591,0.018294
2,0.0379452,0.0387122,0.0394342,0.0336682,0.0254232,0.0387292,0.026031
4,0.0760624,0.0875934,0.0736364,0.0520274,0.0758064,0.0512864,0.089866
8,0.1495358,0.1505648,0.1774778,0.1039368,0.1807708,0.0997848,0.151014
16,0.33769416,0.30921016,0.30967316,0.30896516,0.18637216,0.30800316,0.206855
32,0.54916432,0.59581032,0.59875032,0.69124532,0.62107232,0.61492932,0.439042
64,0.98147464,1.10533264,1.16620464,1.17754264,1.18340464,1.21047864,1.192610
128,1.574456128,1.939014128,2.164227128,2.283476128,2.294608128,2.296555128,2.423208
256,2.077398256,2.525730256,3.080471256,3.279409256,4.768580256,4.530930256,4.546739
512,0.587158512,0.144741512,1.580046512,1.580330512,0.141516512,0.001995512,0.002031
1024,0.1127721024,1.8171251024,1.2527681024,2.1737831024,0.0039291024,0.1126941024,0.125240
2048,0.1360672048,3.0570522048,0.6371622048,0.0022212048,3.1116182048,1.9088392048,5.560425
4096,0.5761744096,3.0232894096,8.3375444096,0.0157014096,9.5807814096,9.9998224096,0.004995
8192,0.0293558192,7.0265608192,0.0086818192,14.1069008192,15.8657628192,18.2609588192,18.031312
