  1.29,  8.52, 17.82, 15.46, 13.05, 13.75, 13.70
  0.22,  2.67,  8.51, 10.57,  8.24, 13.30, 25.73
  0.33,  2.54, 11.78, 22.05, 15.03, 20.88, 51.29
  0.18,  2.05, 12.95, 30.53, 32.96, 35.02, 76.57
  0.10,  1.35,  7.49, 43.55, 70.63, 63.36,115.19
